period,date,winner,loser,winner_odds,loser_odds,winner_score,loser_score
15,2023-11-25,West Ham,Burnley,2.05,3.4,2,1
15,2023-11-26,Aston Villa,Tottenham,2.8,2.3,2,1
15,2023-11-26,Man United,Everton,2.55,2.7,3,0
15,2023-11-27,Fulham,Wolves,2.38,3,3,2
16,2023-12-02,Arsenal,Wolves,1.25,12,2,1
16,2023-12-02,Brentford,Luton,1.45,6.5,3,1
16,2023-12-02,Burnley,Sheffield United,1.8,4.5,5,0
16,2023-12-02,Everton,Nott'm Forest,2.6,2.75,1,0
16,2023-12-02,Newcastle,Man United,1.91,3.8,1,0
16,2023-12-03,Chelsea,Brighton,1.73,4.2,3,2
16,2023-12-03,Liverpool,Fulham,1.25,9,4,3
16,2023-12-05,Arsenal,Luton,1.18,17,4,3
16,2023-12-05,Wolves,Burnley,1.85,4.2,1,0
16,2023-12-06,Aston Villa,Man City,4.75,1.7,1,0
16,2023-12-06,Bournemouth,Crystal Palace,3.1,2.25,2,0
16,2023-12-06,Brighton,Brentford,1.91,3.75,2,1
16,2023-12-06,Fulham,Nott'm Forest,2,3.75,5,0
16,2023-12-06,Liverpool,Sheffield United,1.2,12,2,0
16,2023-12-06,Man United,Chelsea,2.88,2.45,2,1
16,2023-12-07,Everton,Newcastle,3.25,2.25,3,0
16,2023-12-07,West Ham,Tottenham,4.2,1.75,2,1
17,2023-12-09,Aston Villa,Arsenal,3.3,2.1,1,0
17,2023-12-09,Bournemouth,Man United,5.75,1.55,3,0
17,2023-12-09,Liverpool,Crystal Palace,1.5,6,2,1
17,2023-12-09,Sheffield United,Brentford,4.2,1.75,1,0
17,2023-12-10,Everton,Chelsea,3.1,2.25,2,0
17,2023-12-10,Fulham,West Ham,2.38,2.9,5,0
17,2023-12-10,Man City,Luton,1.14,17,2,1
17,2023-12-10,Tottenham,Newcastle,2.15,3.1,4,1
18,2023-12-15,Tottenham,Nott'm Forest,1.73,4.2,2,0
18,2023-12-16,Chelsea,Sheffield United,1.22,13,2,0
18,2023-12-16,Everton,Burnley,2.1,3.6,2,0
18,2023-12-16,Newcastle,Fulham,1.8,4,3,0
18,2023-12-17,Arsenal,Brighton,1.44,6,2,0
18,2023-12-17,Aston Villa,Brentford,2.1,3.2,2,1
18,2023-12-17,West Ham,Wolves,2.15,3.3,3,0
19,2023-12-23,Bournemouth,Nott'm Forest,2.55,2.75,3,2
19,2023-12-23,Burnley,Fulham,5.25,1.67,2,0
19,2023-12-23,Luton,Newcastle,4.75,1.65,1,0
19,2023-12-23,Tottenham,Everton,1.75,4,2,1
19,2023-12-23,West Ham,Man United,2.6,2.6,2,0
19,2023-12-24,Wolves,Chelsea,3.75,1.91,2,1
19,2023-12-26,Bournemouth,Fulham,2.15,3.2,3,0
19,2023-12-26,Liverpool,Burnley,1.4,6.5,2,0
19,2023-12-26,Luton,Sheffield United,3.1,2.3,3,2
19,2023-12-26,Man United,Aston Villa,2.6,2.6,3,2
19,2023-12-26,Nott'm Forest,Newcastle,5.75,1.5,3,1
19,2023-12-27,Chelsea,Crystal Palace,1.67,5,2,1
19,2023-12-27,Man City,Everton,1.57,5.75,3,1
19,2023-12-27,Wolves,Brentford,4.2,1.95,4,1
19,2023-12-28,Brighton,Tottenham,2.5,2.6,4,2
19,2023-12-28,West Ham,Arsenal,7.5,1.33,2,0
20,2023-12-30,Aston Villa,Burnley,1.36,7.5,3,2
20,2023-12-30,Chelsea,Luton,1.5,6.5,3,2
20,2023-12-30,Crystal Palace,Brentford,2.2,3.4,3,1
20,2023-12-30,Man City,Sheffield United,1.08,29,2,0
